net,length_um
pwm_rise_detector.pos\[6\],5.7µm
_086_,5.68µm
wbs_dat_o[6],5.65µm
_030_,5.58µm
wbs_adr_i[13],5.41µm
wbs_stb_i,5.41µm
net79,5.26µm
_043_,5.22µm
_051_,5.22µm
wbs_adr_i[23],5.19µm
wbs_adr_i[9],5.19µm
wbs_dat_o[31],5.19µm
_063_,5.12µm
wbs_adr_i[3],5.07µm
wbs_dat_i[0],5.07µm
_045_,5µm
_089_,4.92µm
net116,4.92µm
_090_,4.88µm
net23,4.88µm
pwm_fall_out,4.85µm
wb_clk_i,4.85µm
wbs_ack_o,4.85µm
wbs_we_i,4.73µm
_020_,4.525µm
wbs_adr_i[14],4.39µm
wbs_adr_i[31],4.39µm
_023_,4.385µm
_077_,4.24µm
net95,4.14µm
net97,3.86µm
_003_,3.805µm
_000_,3.78µm
net120,3.78µm
net81,3.74µm
_040_,3.56µm
_075_,3.56µm
_079_,3.54µm
net80,3.54µm
net117,3.54µm
_010_,3.505µm
_013_,3.505µm
_029_,3.44µm
_057_,3.44µm
_032_,3.42µm
_067_,3.32µm
net118,3.32µm
_006_,3.245µm
net112,3.2µm
net114,3.2µm
net109,3.18µm
_087_,3.08µm
_022_,3.065µm
_005_,3.005µm
_007_,3.005µm
_091_,2.98µm
_069_,2.96µm
_002_,2.86µm
net83,2.86µm
net70,2.84µm
net108,2.76µm
_047_,2.74µm
net100,2.72µm
_021_,2.715µm
_078_,2.64µm
_081_,2.64µm
_084_,2.64µm
net86,2.62µm
_014_,2.605µm
_015_,2.605µm
_018_,2.545µm
net63,2.5µm
net73,2.5µm
net77,2.5µm
_012_,2.325µm
net102,2.16µm
net106,2.16µm
net119,2.16µm
_004_,2.085µm
_019_,2.085µm
net60,2.04µm
net61,2.04µm
net64,2.04µm
net66,2.04µm
net67,2.04µm
net68,2.04µm
net111,1.94µm
net121,1.94µm
net96,1.84µm
net62,1.84µm
net65,1.84µm
_037_,1.7µm
net104,1.7µm
net110,1.7µm
net113,1.7µm
net87,1.48µm
net89,1.48µm
net94,1.48µm
net69,1.38µm
net72,1.38µm
net74,1.38µm
net75,1.38µm
net76,1.38µm
net78,1.38µm
net82,1.38µm
net84,1.38µm
net85,1.38µm
net88,1.38µm
net93,1.38µm
net98,1.38µm
net99,1.38µm
net101,1.38µm
net103,1.38µm
net105,1.38µm
net107,1.38µm
net115,1.38µm
net122,1.38µm
net123,1.38µm
net91,1.02µm
net92,1.02µm
