net,length_um
net44,845.64µm
net29,819.7µm
net47,798.24µm
net5,775.03µm
net15,735.38µm
net7,690.06µm
net19,658.98µm
net33,653.08µm
net1,647.86µm
net37,639.84µm
net6,637.06µm
net36,627.14µm
net8,602.035µm
net40,601.86µm
net35,595.2µm
net11,581.8µm
net9,549.34µm
net43,549.3µm
net46,547.26µm
net28,532.68µm
net3,509.5µm
net14,507.28µm
net22,502.915µm
net4,488.74µm
net39,475.1µm
_064_,471.98µm
net13,460.56µm
net34,454.08µm
net26,447.9µm
net32,443.11µm
net25,424.735µm
net2,424.12µm
net20,391.18µm
net21,386.4µm
net41,371.54µm
net45,368.91µm
net38,337.64µm
net42,327.26µm
net24,296.96µm
net17,279.48µm
net18,267.36µm
net12,266.32µm
_060_,245.84µm
net31,235.22µm
_065_,230.56µm
net10,221.38µm
net16,208.18µm
net48,202.92µm
_059_,167.96µm
net57,145.72µm
net56,143.105µm
net27,138.82µm
net53,134.04µm
net55,123.26µm
_073_,118.62µm
net58,113.955µm
net59,110.96µm
_083_,106.4µm
pwm_counter0.count\[4\],83.08µm
net30,82.86µm
_028_,78.48µm
_062_,71.54µm
net51,69.52µm
_008_,64.26µm
net49,59.22µm
_071_,58.6µm
net54,53.88µm
_050_,53.22µm
pwm_fall_detector.pos\[3\],50.905µm
_072_,42.76µm
pwm_rise_detector.pos\[3\],41.795µm
pwm_counter0.count\[0\],41.075µm
net50,39.58µm
_027_,38.92µm
pwm_counter0.count\[5\],38.4µm
pwm_fall_detector.pos\[7\],36.36µm
pwm_rise_detector.pos\[4\],35.52µm
pwm_fall_detector.pos\[1\],29.9µm
pwm_rise_detector.pos\[7\],29.42µm
_066_,29.2µm
pwm_counter0.count\[1\],28.26µm
pwm_fall_detector.pos\[4\],27.79µm
pwm_rise_detector.pos\[1\],26.46µm
_095_,25.72µm
net52,24.72µm
pwm_rise_detector.pos\[2\],23.52µm
pwm_counter0.count\[2\],22.42µm
pwm_fall_detector.pos\[2\],21.78µm
_058_,20.62µm
pwm_counter0.count\[7\],19.58µm
pwm_rise_detector.pos\[0\],19.36µm
_025_,18.72µm
_094_,18.125µm
pwm_counter0.count\[6\],17.86µm
_055_,17.6µm
wbs_dat_o[19],16.78µm
_048_,16.56µm
pwm_rise_detector.pos\[5\],15.84µm
pwm_fall_detector.pos\[6\],15.62µm
pwm_fall_detector.pos\[0\],15.58µm
wbs_adr_i[10],14.32µm
wbs_dat_o[22],14.16µm
wbs_dat_o[27],14.16µm
wbs_adr_i[0],13.86µm
wbs_adr_i[1],13.86µm
wbs_adr_i[24],13.86µm
pwm_fall_detector.pos\[5\],13.8µm
pwm_rise_out,13.3µm
wbs_adr_i[2],13.3µm
_044_,12.98µm
pwm_counter0.count\[3\],12.9µm
wbs_adr_i[26],12.84µm
wbs_dat_o[13],12.8µm
wbs_dat_o[15],12.8µm
wbs_dat_o[26],12.8µm
wbs_dat_o[29],12.8µm
wbs_dat_o[8],12.8µm
wbs_dat_o[9],12.8µm
_031_,12.64µm
_054_,12.64µm
_092_,12.585µm
_039_,11.6µm
wbs_adr_i[19],11.6µm
wbs_adr_i[21],11.6µm
wbs_adr_i[6],11.6µm
wbs_adr_i[27],11.56µm
wbs_adr_i[30],11.56µm
wbs_adr_i[25],11.48µm
wbs_dat_i[4],11.48µm
_080_,11.24µm
wbs_dat_o[0],11.22µm
wbs_dat_o[16],11.22µm
wbs_dat_o[1],11.22µm
wbs_dat_o[3],11.22µm
wbs_dat_o[7],11.22µm
wbs_adr_i[11],11.1µm
wbs_dat_i[7],11.1µm
_088_,10.78µm
wbs_dat_o[18],10.76µm
wbs_dat_o[24],10.76µm
wbs_dat_o[28],10.76µm
wbs_adr_i[4],10.64µm
_036_,10.44µm
wbs_dat_o[11],10.3µm
wbs_dat_o[25],10.3µm
wbs_dat_o[4],10.3µm
_093_,10.165µm
wbs_adr_i[8],10.1µm
_049_,9.8µm
wbs_adr_i[5],9.64µm
_016_,9.325µm
wbs_adr_i[22],9.3µm
wbs_dat_i[3],9.27µm
_035_,8.96µm
_046_,8.96µm
wbs_adr_i[16],8.84µm
wbs_adr_i[7],8.84µm
wbs_dat_i[5],8.84µm
_061_,8.78µm
wbs_adr_i[12],8.72µm
wbs_dat_i[1],8.72µm
wbs_dat_i[2],8.72µm
_042_,8.5µm
_082_,8.48µm
_034_,8.14µm
_017_,8.065µm
_074_,8.06µm
_038_,7.94µm
_068_,7.72µm
_001_,7.625µm
_009_,7.265µm
wbs_dat_o[23],7.25µm
wbs_dat_o[14],7.03µm
_024_,6.945µm
wbs_dat_o[17],6.91µm
la_data_in[0],6.89µm
_053_,6.82µm
_085_,6.82µm
wbs_dat_o[10],6.69µm
wbs_dat_o[12],6.69µm
wbs_dat_o[20],6.69µm
wbs_dat_o[2],6.69µm
_041_,6.62µm
_052_,6.58µm
wbs_adr_i[15],6.55µm
_033_,6.52µm
wbs_adr_i[17],6.43µm
_070_,6.32µm
_056_,6.26µm
wbs_dat_o[21],6.23µm
wbs_dat_o[30],6.23µm
wbs_dat_o[5],6.23µm
_076_,6.14µm
wbs_adr_i[20],6.09µm
wbs_cyc_i,6.09µm
wbs_dat_i[6],6.09µm
wbs_adr_i[29],5.99µm
net71,5.9µm
wbs_adr_i[18],5.87µm
net90,5.84µm
_026_,5.82µm
_011_,5.765µm
wbs_adr_i[28],5.75µm
