net,length_um
net5,1.10616mm
net6,1.08372mm
net44,1.0019mm
net27,858.02µm
net36,821.44µm
net15,820.11µm
net19,770.18µm
net4,751.02µm
net35,742.92µm
net1,736.68µm
net43,730.07µm
net12,705.18µm
net37,704.695µm
net46,690.32µm
net40,669.52µm
net30,656.92µm
net7,655.12µm
net17,647.74µm
net28,641.82µm
net14,636.825µm
net33,636.68µm
net3,633.835µm
net13,605.07µm
net22,581.085µm
net39,571.755µm
net11,571.02µm
net24,554.82µm
net32,541.41µm
net47,513.46µm
net20,504.28µm
net25,498.18µm
net21,478.62µm
net2,430.48µm
net42,430.2µm
net18,426.64µm
net8,405.32µm
net38,403.82µm
net34,401.72µm
net41,378.32µm
_058_,368.52µm
net16,360.54µm
net48,360.44µm
net26,356.44µm
net9,346.15µm
net45,345.18µm
_064_,335.34µm
net10,299.84µm
_065_,293.22µm
_060_,290.815µm
net29,278.72µm
net31,275.5µm
net23,208.58µm
_071_,200.4µm
net57,161.78µm
net53,154.3µm
net56,134.4µm
net60,128.6µm
_083_,114.56µm
_073_,114.12µm
net58,108.32µm
net55,93.2µm
net49,76.2µm
net51,70.04µm
net59,65.7µm
_028_,61.56µm
pwm_counter0.count\[4\],60.21µm
pwm_rise_detector.pos\[3\],52.825µm
pwm_counter0.count\[0\],51.275µm
pwm_fall_detector.pos\[4\],45.08µm
_050_,44.56µm
net54,44.12µm
net50,43.82µm
net61,42.6µm
_025_,41.52µm
pwm_counter0.count\[6\],41.46µm
net52,41.12µm
pwm_counter0.count\[5\],40.4µm
pwm_rise_detector.pos\[7\],38.16µm
_094_,37.495µm
pwm_fall_detector.pos\[7\],36.3µm
pwm_counter0.count\[1\],33.98µm
pwm_fall_detector.pos\[2\],33.975µm
pwm_rise_detector.pos\[2\],33.38µm
pwm_rise_detector.pos\[1\],26.76µm
_095_,26.31µm
pwm_fall_detector.pos\[1\],25.8µm
_027_,25.22µm
_066_,24.75µm
pwm_rise_detector.pos\[4\],23.5µm
pwm_rise_detector.pos\[6\],22.3µm
pwm_counter0.count\[7\],21.82µm
wbs_dat_o[19],20.42µm
pwm_fall_detector.pos\[3\],19.625µm
_055_,19.2µm
pwm_counter0.count\[2\],19.135µm
pwm_rise_detector.pos\[0\],18.82µm
wbs_adr_i[29],17.03µm
_035_,16.8µm
_032_,16.2µm
_056_,16.16µm
pwm_fall_detector.pos\[5\],15.24µm
_093_,14.765µm
wbs_adr_i[10],14.2µm
wbs_adr_i[20],13.86µm
wbs_dat_o[15],13.82µm
_087_,13.8µm
_040_,13.54µm
_076_,13.54µm
wbs_dat_o[13],13.36µm
wbs_dat_o[22],13.36µm
