net,length_um
wbs_dat_o[26],13.36µm
wbs_dat_o[27],13.36µm
wbs_dat_o[29],13.36µm
wbs_dat_o[8],13.36µm
wbs_dat_o[9],13.36µm
_085_,13.18µm
_057_,13.16µm
wbs_adr_i[26],12.96µm
_048_,12.7µm
_059_,12.54µm
_082_,12.34µm
wbs_dat_i[2],11.6µm
wbs_dat_i[5],11.6µm
wbs_adr_i[19],11.48µm
wbs_dat_i[1],11.48µm
_053_,11.47µm
wbs_adr_i[0],11.44µm
wbs_adr_i[11],11.44µm
wbs_adr_i[1],11.44µm
wbs_adr_i[27],11.44µm
wbs_adr_i[30],11.44µm
wbs_cyc_i,11.44µm
wbs_dat_i[7],11.44µm
pwm_counter0.count\[3\],11.42µm
_092_,11.285µm
pwm_fall_detector.pos\[6\],11.28µm
pwm_fall_out,11.22µm
user_irq[0],11.22µm
wbs_adr_i[24],11.1µm
wbs_dat_o[0],10.76µm
wbs_dat_o[16],10.76µm
wbs_dat_o[18],10.76µm
wbs_dat_o[1],10.76µm
wbs_dat_o[24],10.76µm
wbs_dat_o[25],10.76µm
wbs_dat_o[28],10.76µm
wbs_dat_o[3],10.76µm
wbs_dat_o[4],10.76µm
wbs_dat_o[5],10.76µm
wbs_dat_o[7],10.76µm
wbs_adr_i[28],10.57µm
wbs_dat_o[11],10.3µm
pwm_rise_detector.pos\[5\],9.96µm
pwm_fall_detector.pos\[0\],9.9µm
_039_,9.7µm
wbs_dat_o[10],9.31µm
wbs_adr_i[12],9.18µm
_030_,9.08µm
_091_,8.98µm
_042_,8.96µm
pwm_rise_out,8.96µm
_011_,8.945µm
_038_,8.9µm
wbs_adr_i[25],8.84µm
wbs_adr_i[2],8.84µm
wbs_adr_i[6],8.84µm
_008_,8.795µm
wbs_adr_i[16],8.72µm
wbs_adr_i[21],8.72µm
wbs_adr_i[5],8.72µm
wbs_adr_i[8],8.72µm
wbs_dat_i[4],8.72µm
user_irq[1],8.63µm
wbs_dat_o[12],8.63µm
wbs_dat_o[2],8.63µm
_054_,8.58µm
_029_,8.44µm
_026_,8.2µm
_077_,8.06µm
_044_,7.98µm
wbs_dat_o[14],7.95µm
wbs_dat_o[23],7.95µm
_043_,7.94µm
_006_,7.685µm
_051_,7.64µm
wbs_dat_o[17],7.61µm
wbs_dat_o[20],7.61µm
wbs_dat_o[21],7.61µm
wbs_dat_o[30],7.61µm
wbs_dat_o[6],7.61µm
wbs_adr_i[14],7.23µm
wbs_dat_i[6],7.23µm
_080_,7.18µm
user_irq[2],7.15µm
wbs_dat_o[31],7.15µm
_075_,7.14µm
_069_,7.06µm
_072_,6.94µm
_036_,6.8µm
wbs_adr_i[3],6.77µm
_013_,6.685µm
_015_,6.565µm
la_data_in[0],6.55µm
_010_,6.5µm
net85,6.44µm
wbs_dat_i[3],6.43µm
wbs_we_i,6.43µm
_079_,6.4µm
wbs_ack_o,6.21µm
_046_,6.2µm
_000_,6.155µm
_089_,6.14µm
wbs_adr_i[31],6.09µm
_016_,6.005µm
_002_,5.965µm
_020_,5.965µm
_004_,5.895µm
_024_,5.895µm
wbs_adr_i[23],5.87µm
wbs_adr_i[4],5.87µm
_063_,5.84µm
_068_,5.68µm
_088_,5.68µm
net79,5.6µm
_019_,5.58µm
wbs_adr_i[13],5.41µm
wbs_adr_i[18],5.41µm
wbs_dat_i[0],5.41µm
_061_,5.4µm
_067_,5.38µm
_074_,5.38µm
net89,5.34µm
_090_,5.22µm
wb_clk_i,5.19µm
wbs_adr_i[7],5.19µm
wbs_stb_i,5.19µm
net81,5.14µm
wbs_adr_i[9],5.07µm
_047_,5µm
_005_,4.98µm
net104,4.92µm
net105,4.92µm
net114,4.92µm
net129,4.92µm
_041_,4.88µm
_031_,4.8µm
_034_,4.76µm
wbs_adr_i[15],4.73µm
net96,4.68µm
_014_,4.445µm
_037_,4.42µm
_049_,4.42µm
_001_,4.405µm
wbs_adr_i[17],4.39µm
wbs_adr_i[22],4.39µm
_070_,4.28µm
net119,4.24µm
net126,4.24µm
net128,4.24µm
net70,4.22µm
net91,4.14µm
net118,4.14µm
_084_,4.02µm
_086_,4.02µm
net84,4µm
net97,4µm
net99,4µm
net100,4µm
_009_,3.685µm
_045_,3.66µm
net92,3.66µm
net94,3.66µm
net124,3.66µm
net127,3.66µm
_081_,3.42µm
_023_,3.32µm
net102,3.32µm
net76,3.3µm
_062_,3.2µm
net117,3.18µm
_052_,3.11µm
_018_,2.86µm
net120,2.86µm
net65,2.84µm
net66,2.84µm
net68,2.84µm
net69,2.84µm
_078_,2.64µm
net95,2.62µm
net98,2.62µm
_012_,2.605µm
_021_,2.605µm
_003_,2.585µm
_007_,2.585µm
net63,2.5µm
net64,2.5µm
net71,2.5µm
net73,2.5µm
net130,2.4µm
net62,2.38µm
net67,2.38µm
net72,2.38µm
net74,2.38µm
net103,2.16µm
net108,2.16µm
net110,2.16µm
net111,2.16µm
_022_,2.085µm
_033_,2.04µm
_017_,1.865µm
net86,1.7µm
net93,1.7µm
net106,1.7µm
net125,1.48µm
net75,1.38µm
net77,1.38µm
net78,1.38µm
net80,1.38µm
net82,1.38µm
net83,1.38µm
net87,1.38µm
net88,1.38µm
net90,1.38µm
net107,1.38µm
net109,1.38µm
net112,1.38µm
net113,1.38µm
net115,1.38µm
net116,1.38µm
net122,1.38µm
net123,1.38µm
net101,1.02µm
net121,1.02µm
net131,1.02µm
