net,length_um
_091_,15.78µm
pwm_counter0.count\[7\],15.64µm
net156,15.64µm
_057_,15.28µm
pwm_fall_detector.pos\[0\],14.98µm
net419,14.96µm
_044_,14.88µm
net536,14.58µm
_029_,14.56µm
la_data_out[90],14.41µm
_049_,14.32µm
wbs_adr_i[29],14.32µm
wbs_adr_i[30],14.32µm
io_oeb[15],14.28µm
io_out[19],14.28µm
io_out[37],14.28µm
la_data_out[19],14.28µm
la_data_out[34],14.28µm
la_data_out[64],14.28µm
la_data_out[68],14.28µm
la_data_out[94],14.28µm
la_data_out[95],14.28µm
wbs_dat_o[8],14.28µm
wbs_cyc_i,14.2µm
io_oeb[8],14.02µm
_054_,13.92µm
io_oeb[10],13.82µm
io_oeb[5],13.82µm
io_oeb[9],13.82µm
io_out[14],13.82µm
io_out[27],13.82µm
la_data_out[106],13.82µm
la_data_out[127],13.82µm
la_data_out[12],13.82µm
la_data_out[36],13.82µm
la_data_out[51],13.82µm
la_data_out[55],13.82µm
la_data_out[63],13.82µm
la_data_out[70],13.82µm
la_data_out[87],13.82µm
la_data_out[93],13.82µm
la_data_out[9],13.82µm
user_irq[2],13.82µm
wbs_dat_o[13],13.82µm
wbs_dat_o[15],13.82µm
pwm_rise_detector.pos\[5\],13.58µm
pwm_fall_detector.pos\[5\],13.54µm
_056_,13.5µm
_035_,13.42µm
io_oeb[13],13.36µm
io_oeb[1],13.36µm
io_oeb[26],13.36µm
io_oeb[2],13.36µm
io_oeb[31],13.36µm
io_oeb[34],13.36µm
io_oeb[36],13.36µm
io_out[11],13.36µm
io_out[20],13.36µm
io_out[23],13.36µm
io_out[29],13.36µm
la_data_out[18],13.36µm
la_data_out[22],13.36µm
la_data_out[24],13.36µm
la_data_out[28],13.36µm
la_data_out[32],13.36µm
la_data_out[35],13.36µm
la_data_out[38],13.36µm
la_data_out[41],13.36µm
la_data_out[48],13.36µm
la_data_out[59],13.36µm
la_data_out[74],13.36µm
la_data_out[76],13.36µm
la_data_out[78],13.36µm
la_data_out[83],13.36µm
la_data_out[89],13.36µm
la_data_out[92],13.36µm
wbs_dat_o[22],13.36µm
wbs_dat_o[26],13.36µm
wbs_dat_o[27],13.36µm
wbs_dat_o[29],13.36µm
wbs_dat_o[9],13.36µm
_038_,13.16µm
net464,13.12µm
net423,12.62µm
_076_,12.44µm
_078_,12.3µm
_003_,11.905µm
wbs_adr_i[4],11.9µm
_093_,11.76µm
wbs_dat_i[5],11.6µm
wbs_adr_i[0],11.56µm
wbs_adr_i[1],11.56µm
wbs_adr_i[3],11.48µm
wbs_dat_i[4],11.48µm
wbs_adr_i[10],11.44µm
wbs_adr_i[20],11.44µm
wbs_dat_i[0],11.44µm
wbs_dat_i[7],11.44µm
net490,11.28µm
io_out[22],11.22µm
io_out[30],11.22µm
la_data_out[103],11.22µm
la_data_out[30],11.22µm
io_oeb[14],10.76µm
io_oeb[16],10.76µm
io_oeb[18],10.76µm
io_oeb[27],10.76µm
io_out[0],10.76µm
io_out[1],10.76µm
io_out[28],10.76µm
io_out[34],10.76µm
io_out[36],10.76µm
io_out[5],10.76µm
io_out[6],10.76µm
io_out[9],10.76µm
la_data_out[104],10.76µm
la_data_out[110],10.76µm
la_data_out[111],10.76µm
la_data_out[112],10.76µm
la_data_out[115],10.76µm
la_data_out[118],10.76µm
la_data_out[120],10.76µm
la_data_out[15],10.76µm
la_data_out[31],10.76µm
la_data_out[33],10.76µm
la_data_out[39],10.76µm
la_data_out[46],10.76µm
la_data_out[47],10.76µm
la_data_out[4],10.76µm
la_data_out[53],10.76µm
la_data_out[57],10.76µm
la_data_out[58],10.76µm
la_data_out[61],10.76µm
la_data_out[62],10.76µm
la_data_out[67],10.76µm
la_data_out[72],10.76µm
la_data_out[75],10.76µm
la_data_out[77],10.76µm
la_data_out[7],10.76µm
la_data_out[81],10.76µm
la_data_out[84],10.76µm
la_data_out[88],10.76µm
la_data_out[96],10.76µm
la_data_out[97],10.76µm
la_data_out[99],10.76µm
wbs_dat_o[11],10.76µm
wbs_dat_o[16],10.76µm
wbs_dat_o[18],10.76µm
wbs_dat_o[1],10.76µm
wbs_dat_o[24],10.76µm
wbs_dat_o[28],10.76µm
wbs_dat_o[3],10.76µm
wbs_dat_o[7],10.76µm
wbs_adr_i[23],10.57µm
_090_,10.5µm
io_oeb[28],10.3µm
io_out[12],10.3µm
io_out[16],10.3µm
io_out[17],10.3µm
io_out[21],10.3µm
io_out[24],10.3µm
io_out[32],10.3µm
io_out[33],10.3µm
io_out[4],10.3µm
la_data_out[108],10.3µm
la_data_out[123],10.3µm
la_data_out[14],10.3µm
la_data_out[1],10.3µm
la_data_out[2],10.3µm
la_data_out[43],10.3µm
la_data_out[49],10.3µm
la_data_out[71],10.3µm
wbs_dat_o[0],10.3µm
wbs_dat_o[25],10.3µm
wbs_dat_o[4],10.3µm
_092_,9.955µm
net223,9.86µm
_046_,9.82µm
_010_,9.76µm
_006_,9.68µm
net517,9.52µm
_079_,9.44µm
la_data_out[29],9.31µm
la_data_out[42],9.31µm
la_data_out[60],9.31µm
_020_,9.285µm
_053_,9.1µm
pwm_rise_detector.pos\[0\],9.08µm
_051_,9.06µm
io_out[31],8.97µm
la_data_out[107],8.97µm
la_data_out[109],8.97µm
la_data_out[20],8.97µm
wbs_dat_o[10],8.97µm
wbs_dat_o[20],8.97µm
_026_,8.9µm
wbs_adr_i[2],8.84µm
wbs_adr_i[16],8.72µm
wbs_adr_i[21],8.72µm
wbs_adr_i[22],8.72µm
wbs_adr_i[25],8.72µm
wbs_adr_i[26],8.72µm
wbs_adr_i[6],8.72µm
wbs_adr_i[7],8.72µm
pwm_rise_detector.pos\[6\],8.66µm
io_oeb[24],8.63µm
io_out[2],8.63µm
la_data_out[113],8.63µm
la_data_out[82],8.63µm
wbs_dat_o[21],8.63µm
wbs_dat_o[2],8.63µm
wbs_adr_i[12],8.38µm
wbs_dat_i[2],8.38µm
io_oeb[20],8.29µm
io_out[15],8.29µm
la_data_out[40],8.29µm
la_data_out[69],8.29µm
la_data_out[91],8.29µm
wbs_dat_o[23],8.29µm
net85,8.28µm
io_oeb[0],7.95µm
io_oeb[17],7.95µm
io_oeb[19],7.95µm
io_oeb[30],7.95µm
io_out[25],7.95µm
io_out[3],7.95µm
io_out[7],7.95µm
io_out[8],7.95µm
la_data_out[117],7.95µm
la_data_out[122],7.95µm
la_data_out[124],7.95µm
la_data_out[13],7.95µm
la_data_out[21],7.95µm
la_data_out[25],7.95µm
la_data_out[44],7.95µm
la_data_out[45],7.95µm
wbs_dat_o[14],7.95µm
wbs_dat_o[17],7.95µm
wbs_dat_o[6],7.95µm
_030_,7.84µm
io_oeb[6],7.83µm
la_data_out[79],7.83µm
wbs_dat_o[12],7.83µm
_007_,7.645µm
io_oeb[21],7.61µm
io_oeb[22],7.61µm
io_oeb[32],7.61µm
io_oeb[35],7.61µm
io_oeb[4],7.61µm
io_oeb[7],7.61µm
io_out[13],7.61µm
io_out[26],7.61µm
la_data_out[0],7.61µm
la_data_out[100],7.61µm
la_data_out[102],7.61µm
la_data_out[10],7.61µm
la_data_out[116],7.61µm
la_data_out[119],7.61µm
la_data_out[121],7.61µm
la_data_out[126],7.61µm
la_data_out[17],7.61µm
la_data_out[23],7.61µm
la_data_out[50],7.61µm
la_data_out[56],7.61µm
la_data_out[5],7.61µm
la_data_out[6],7.61µm
la_data_out[73],7.61µm
la_data_out[80],7.61µm
la_data_out[85],7.61µm
la_data_out[98],7.61µm
user_irq[1],7.61µm
pwm_fall_detector.pos\[6\],7.52µm
io_oeb[29],7.49µm
io_oeb[33],7.49µm
la_data_out[101],7.49µm
la_data_out[11],7.49µm
la_data_out[52],7.49µm
la_data_out[65],7.49µm
wbs_dat_o[30],7.49µm
_041_,7.48µm
io_oeb[11],7.15µm
io_oeb[23],7.15µm
io_oeb[25],7.15µm
io_oeb[3],7.15µm
io_out[10],7.15µm
io_out[18],7.15µm
la_data_out[105],7.15µm
la_data_out[114],7.15µm
la_data_out[125],7.15µm
la_data_out[16],7.15µm
la_data_out[26],7.15µm
la_data_out[27],7.15µm
la_data_out[37],7.15µm
la_data_out[54],7.15µm
la_data_out[66],7.15µm
la_data_out[86],7.15µm
la_data_out[8],7.15µm
user_irq[0],7.15µm
wbs_dat_o[31],7.15µm
wbs_dat_o[5],7.15µm
_068_,7.12µm
_070_,6.9µm
wbs_adr_i[17],6.77µm
wbs_adr_i[18],6.77µm
wbs_adr_i[19],6.77µm
wbs_dat_i[1],6.77µm
_019_,6.645µm
_024_,6.645µm
wb_clk_i,6.55µm
wbs_dat_i[6],6.55µm
_034_,6.52µm
_016_,6.5µm
net327,6.44µm
net537,6.44µm
wbs_adr_i[11],6.43µm
wbs_adr_i[27],6.43µm
_084_,6.41µm
_017_,6.265µm
_000_,6.225µm
pwm_rise_out,6.21µm
_047_,6.14µm
la_data_in[0],6.09µm
wbs_adr_i[8],6.09µm
wbs_dat_i[3],6.09µm
_012_,6.08µm
_014_,6.065µm
_040_,5.94µm
wbs_adr_i[31],5.87µm
net336,5.84µm
net485,5.84µm
_074_,5.74µm
_033_,5.68µm
_067_,5.62µm
net79,5.6µm
net94,5.6µm
net99,5.6µm
net133,5.6µm
net140,5.6µm
net182,5.6µm
net188,5.6µm
net253,5.6µm
net277,5.6µm
_022_,5.58µm
net502,5.58µm
_031_,5.48µm
wbs_adr_i[14],5.41µm
wbs_adr_i[9],5.41µm
net333,5.34µm
net358,5.34µm
_001_,5.305µm
_042_,5.26µm
wbs_we_i,5.19µm
net538,5.16µm
_061_,5.14µm
net113,5.14µm
net126,5.14µm
net206,5.14µm
net218,5.14µm
net259,5.14µm
net282,5.14µm
net535,5.12µm
net505,5.1µm
net509,5.1µm
wbs_adr_i[24],5.07µm
wbs_stb_i,5.07µm
_002_,5.045µm
_009_,5.045µm
net12,5µm
net296,4.92µm
net320,4.92µm
net323,4.92µm
net373,4.92µm
net429,4.92µm
net430,4.92µm
net504,4.92µm
net528,4.92µm
net137,4.88µm
net352,4.88µm
pwm_fall_out,4.85µm
wbs_ack_o,4.85µm
net394,4.8µm
wbs_adr_i[13],4.73µm
wbs_adr_i[15],4.73µm
net105,4.68µm
net410,4.68µm
net364,4.58µm
net311,4.48µm
net500,4.48µm
net470,4.46µm
_052_,4.42µm
_069_,4.42µm
net160,4.42µm
net307,4.42µm
net319,4.42µm
net337,4.42µm
net343,4.42µm
net397,4.42µm
net403,4.42µm
net491,4.42µm
wbs_adr_i[28],4.39µm
wbs_adr_i[5],4.39µm
_087_,4.34µm
net315,4.34µm
net391,4.34µm
net489,4.34µm
net511,4.34µm
net300,4.24µm
net366,4.24µm
net370,4.24µm
net424,4.24µm
net76,4.22µm
net91,4.22µm
net131,4.22µm
net273,4.22µm
net304,4.14µm
net310,4.14µm
net330,4.14µm
net332,4.14µm
net334,4.14µm
net345,4.14µm
net349,4.14µm
net350,4.14µm
net367,4.14µm
net368,4.14µm
net401,4.14µm
net409,4.14µm
net431,4.14µm
net440,4.14µm
net445,4.14µm
net448,4.14µm
net454,4.14µm
net456,4.14µm
net461,4.14µm
net463,4.14µm
net478,4.14µm
net527,4.14µm
_005_,4.125µm
_013_,4.125µm
_080_,4.02µm
_075_,4µm
net288,4µm
net293,4µm
net297,4µm
net309,4µm
net316,4µm
net324,4µm
net335,4µm
net357,4µm
net359,4µm
net362,4µm
net365,4µm
net384,4µm
net392,4µm
net413,4µm
net414,4µm
net443,4µm
net449,4µm
net462,4µm
net471,4µm
net473,4µm
net483,4µm
net492,4µm
net503,4µm
net217,3.88µm
_089_,3.76µm
net150,3.76µm
net241,3.76µm
net540,3.74µm
net295,3.66µm
net313,3.66µm
net326,3.66µm
net411,3.66µm
net441,3.66µm
net467,3.66µm
net498,3.66µm
_023_,3.605µm
_086_,3.56µm
_085_,3.54µm
net383,3.54µm
net433,3.54µm
net438,3.54µm
net519,3.54µm
net520,3.54µm
_032_,3.42µm
net168,3.42µm
net70,3.3µm
net142,3.3µm
net215,3.3µm
net518,3.18µm
net526,3.18µm
_088_,3.08µm
net312,3.08µm
net376,3.08µm
net387,3.08µm
net435,3.08µm
net481,3.08µm
_021_,3.065µm
_011_,3µm
_018_,3µm
_077_,2.96µm
net291,2.86µm
net453,2.86µm
net487,2.86µm
net64,2.84µm
net66,2.84µm
net67,2.84µm
net72,2.84µm
net74,2.84µm
net82,2.84µm
net83,2.84µm
net86,2.84µm
net92,2.84µm
net96,2.84µm
net102,2.84µm
net104,2.84µm
net106,2.84µm
net107,2.84µm
net115,2.84µm
net120,2.84µm
net123,2.84µm
net132,2.84µm
net143,2.84µm
net149,2.84µm
net158,2.84µm
net162,2.84µm
net165,2.84µm
net169,2.84µm
net171,2.84µm
net172,2.84µm
net173,2.84µm
net177,2.84µm
net183,2.84µm
net184,2.84µm
net191,2.84µm
net192,2.84µm
net210,2.84µm
net213,2.84µm
net216,2.84µm
net224,2.84µm
net227,2.84µm
net235,2.84µm
net236,2.84µm
net240,2.84µm
net246,2.84µm
net247,2.84µm
net251,2.84µm
net260,2.84µm
net266,2.84µm
net267,2.84µm
net272,2.84µm
net274,2.84µm
net278,2.84µm
net281,2.84µm
net285,2.84µm
net286,2.84µm
net287,2.84µm
net232,2.76µm
net256,2.76µm
net513,2.62µm
net294,2.62µm
net302,2.62µm
net308,2.62µm
net340,2.62µm
net351,2.62µm
net361,2.62µm
net369,2.62µm
net372,2.62µm
net388,2.62µm
net415,2.62µm
net417,2.62µm
net444,2.62µm
net447,2.62µm
net465,2.62µm
net468,2.62µm
net469,2.62µm
net484,2.62µm
net499,2.62µm
_081_,2.5µm
net77,2.5µm
net81,2.5µm
net100,2.5µm
net108,2.5µm
net109,2.5µm
net129,2.5µm
net134,2.5µm
net147,2.5µm
net151,2.5µm
net154,2.5µm
net155,2.5µm
net161,2.5µm
net164,2.5µm
net167,2.5µm
net200,2.5µm
net228,2.5µm
net231,2.5µm
net249,2.5µm
net257,2.5µm
net262,2.5µm
net280,2.5µm
net421,2.4µm
net539,2.4µm
net69,2.38µm
net75,2.38µm
net88,2.38µm
net98,2.38µm
net101,2.38µm
net103,2.38µm
net110,2.38µm
net118,2.38µm
net121,2.38µm
net122,2.38µm
net125,2.38µm
net128,2.38µm
net130,2.38µm
net135,2.38µm
net153,2.38µm
net166,2.38µm
net170,2.38µm
net175,2.38µm
net180,2.38µm
net186,2.38µm
net187,2.38µm
net194,2.38µm
net196,2.38µm
net198,2.38µm
net199,2.38µm
net201,2.38µm
net203,2.38µm
net204,2.38µm
net205,2.38µm
net208,2.38µm
net209,2.38µm
net211,2.38µm
net212,2.38µm
net214,2.38µm
net221,2.38µm
net222,2.38µm
net234,2.38µm
net250,2.38µm
net263,2.38µm
net264,2.38µm
net265,2.38µm
net269,2.38µm
net271,2.38µm
net275,2.38µm
net283,2.38µm
net284,2.38µm
_004_,2.325µm
net317,2.16µm
net325,2.16µm
net331,2.16µm
net363,2.16µm
net371,2.16µm
net404,2.16µm
net460,2.16µm
net477,2.16µm
net508,2.16µm
net525,2.16µm
net245,2.1µm
_043_,2.04µm
net65,2.04µm
net97,2.04µm
net112,2.04µm
net114,2.04µm
net119,2.04µm
net127,2.04µm
net144,2.04µm
net174,2.04µm
net207,2.04µm
net225,2.04µm
net226,2.04µm
net229,2.04µm
net230,2.04µm
net242,2.04µm
net243,2.04µm
_015_,2.035µm
net493,1.94µm
net533,1.94µm
net534,1.94µm
net63,1.84µm
net89,1.84µm
net90,1.84µm
net159,1.84µm
net219,1.84µm
net239,1.84µm
net254,1.84µm
net314,1.84µm
net474,1.84µm
net515,1.84µm
_037_,1.7µm
net289,1.7µm
net290,1.7µm
net298,1.7µm
net301,1.7µm
net303,1.7µm
net306,1.7µm
net322,1.7µm
net328,1.7µm
net329,1.7µm
net339,1.7µm
net341,1.7µm
net348,1.7µm
net353,1.7µm
net354,1.7µm
net360,1.7µm
net377,1.7µm
net381,1.7µm
net389,1.7µm
net393,1.7µm
net398,1.7µm
net402,1.7µm
net406,1.7µm
net425,1.7µm
net432,1.7µm
net442,1.7µm
net452,1.7µm
net455,1.7µm
net457,1.7µm
net472,1.7µm
net476,1.7µm
net479,1.7µm
net496,1.7µm
net501,1.7µm
net510,1.7µm
net514,1.7µm
net521,1.7µm
net523,1.7µm
net292,1.48µm
net346,1.48µm
net395,1.48µm
net400,1.48µm
net405,1.48µm
net506,1.48µm
net68,1.38µm
net71,1.38µm
net73,1.38µm
net78,1.38µm
net80,1.38µm
net84,1.38µm
net87,1.38µm
net93,1.38µm
net95,1.38µm
net111,1.38µm
net116,1.38µm
net117,1.38µm
net124,1.38µm
net136,1.38µm
net138,1.38µm
net139,1.38µm
net141,1.38µm
net145,1.38µm
net146,1.38µm
net148,1.38µm
net152,1.38µm
net157,1.38µm
net163,1.38µm
net176,1.38µm
net178,1.38µm
net179,1.38µm
net181,1.38µm
net185,1.38µm
net189,1.38µm
net190,1.38µm
net193,1.38µm
net195,1.38µm
net197,1.38µm
net202,1.38µm
net220,1.38µm
net233,1.38µm
net237,1.38µm
net238,1.38µm
net244,1.38µm
net248,1.38µm
net252,1.38µm
net255,1.38µm
net258,1.38µm
net261,1.38µm
net268,1.38µm
net270,1.38µm
net276,1.38µm
net279,1.38µm
net299,1.38µm
net305,1.38µm
net321,1.38µm
net338,1.38µm
net342,1.38µm
net355,1.38µm
net356,1.38µm
net374,1.38µm
net378,1.38µm
net379,1.38µm
net380,1.38µm
net382,1.38µm
net385,1.38µm
net386,1.38µm
net390,1.38µm
net396,1.38µm
net399,1.38µm
net412,1.38µm
net416,1.38µm
net418,1.38µm
net422,1.38µm
net426,1.38µm
net427,1.38µm
net434,1.38µm
net436,1.38µm
net437,1.38µm
net450,1.38µm
net451,1.38µm
net458,1.38µm
net459,1.38µm
net480,1.38µm
net482,1.38µm
net486,1.38µm
net488,1.38µm
net495,1.38µm
net497,1.38µm
net507,1.38µm
net512,1.38µm
net516,1.38µm
net522,1.38µm
net524,1.38µm
net529,1.38µm
net531,1.38µm
_039_,1.02µm
net318,1.02µm
net344,1.02µm
net347,1.02µm
net375,1.02µm
net407,1.02µm
net408,1.02µm
net420,1.02µm
net428,1.02µm
net439,1.02µm
net446,1.02µm
net466,1.02µm
net475,1.02µm
net494,1.02µm
net530,1.02µm
net532,1.02µm
