net,length_um
net29,975.14µm
net36,927.78µm
net33,883.18µm
net47,856.82µm
net39,826.06µm
net8,815.9µm
net28,802.7µm
net6,800.14µm
net1,777.36µm
net38,768.84µm
net9,756.3µm
net44,713.5µm
net43,712.66µm
net35,704.2µm
net20,701.64µm
net4,670.82µm
net40,651.82µm
_065_,651.595µm
net10,643.68µm
net34,626.46µm
net5,621.7µm
net15,602.32µm
net19,593.44µm
net37,570.56µm
net2,551.84µm
net45,534.08µm
net42,485.86µm
net14,482.34µm
net26,476.66µm
net3,475.36µm
net41,447.38µm
net25,429.2µm
net46,408µm
net32,402.015µm
net17,399.74µm
net16,399.02µm
_064_,387.78µm
net48,381.32µm
_060_,377.84µm
net7,374.08µm
net13,350.195µm
net11,310.14µm
net30,297.26µm
net21,288.22µm
net27,268.48µm
net24,244.96µm
net18,230.4µm
_063_,225.96µm
net56,205.24µm
net58,185.5µm
net62,161.4µm
net31,146.98µm
net59,146.8µm
net57,145.74µm
_008_,121.4µm
_073_,120.5µm
_083_,120.48µm
net55,107.96µm
_058_,102.72µm
net61,101.34µm
net23,100.58µm
net22,97.535µm
net54,93.82µm
_062_,88.74µm
_028_,85.18µm
net60,84.52µm
net53,78.98µm
_082_,65.42µm
net51,63.6µm
_072_,63.08µm
pwm_counter0.count\[4\],55.36µm
net49,52.16µm
pwm_counter0.count\[6\],52.12µm
_066_,51.42µm
pwm_counter0.count\[0\],51.24µm
_071_,47.28µm
pwm_counter0.count\[5\],46.82µm
io_oeb[12],44.69µm
pwm_rise_detector.pos\[1\],39.24µm
net52,37.58µm
_025_,36.83µm
_095_,34.405µm
pwm_rise_detector.pos\[3\],32.335µm
pwm_fall_detector.pos\[1\],31.08µm
pwm_fall_detector.pos\[2\],31.04µm
_094_,30.165µm
pwm_counter0.count\[1\],29.88µm
_055_,29.08µm
_050_,29.04µm
pwm_fall_detector.pos\[3\],27.58µm
_027_,26.26µm
pwm_rise_detector.pos\[2\],25.44µm
pwm_counter0.count\[2\],25.35µm
net50,24.72µm
pwm_rise_detector.pos\[4\],24.06µm
pwm_fall_detector.pos\[4\],23.46µm
io_out[35],23.43µm
io_oeb[37],20.72µm
pwm_fall_detector.pos\[7\],20.58µm
wbs_dat_o[19],20.42µm
pwm_counter0.count\[3\],19.66µm
_045_,19.58µm
_036_,19.3µm
_048_,18.82µm
la_data_out[3],18.5µm
pwm_rise_detector.pos\[7\],17.98µm
_059_,17.38µm
